,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,available_date,lat_lon,closest_aldi,closest_sainsburys,closest_tesco,closest_superdrug,closest_asda,closest_lidl,closest_boots,minutes_from_TCR
53,1600,1 bedroom apartment,Clapham Road,http://www.rightmove.co.uk/properties/124709855#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus-Lettings/Kennington-Lettings-50951.html,,,1,2022-07-06 15:58:10.018939,2022-07-28 00:00:00.000000,"51.4703448,-0.1247173",4.9,3.25,4.54,4.31,2.86,0.46,4.42,22
54,1700,1 bedroom flat,"Cromwell Road, South Kensington, SW7",http://www.rightmove.co.uk/properties/124709339#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Paramount/London---Lettings-62636.html,SW7,,1,2022-07-06 15:58:10.018939,2022-12-08 00:00:00.000000,"51.5359966,-0.2986809",7.14,10.96,11.52,10.64,12.16,10.96,10.6,46
55,1452,1 bedroom flat,"Canning Road, Stratford, E15",http://www.rightmove.co.uk/properties/124709165#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Square-Quarters/Islington-76064.html,E15,,1,2022-07-06 15:58:10.018939,2022-07-06 15:58:30.498955,"51.5307903,0.0026687",4.83,5.61,6.82,5.17,2.91,2.83,6.11,32
56,1550,1 bedroom flat,"Wellington Terrace, Notting Hill Gate, London",http://www.rightmove.co.uk/properties/124709042#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Regal-Estates/London-61854.html,,,1,2022-07-06 15:58:10.018939,2022-09-07 00:00:00.000000,"51.513263,-0.089878",3.82,1.3,0.13,0.33,2.05,2.43,0.72,14
57,1699,1 bedroom flat,"Mildmay Park, Islington, N1",http://www.rightmove.co.uk/properties/77583525#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Felicity-J-Lord/Islington-Lettings-79624.html,N1,,1,2022-07-06 15:58:10.018939,2022-02-09 00:00:00.000000,"51.5508167,-0.0848561",0.83,0.86,1.57,0.82,2.66,2.07,2.49,34
58,1452,1 bedroom flat,"Canning Road, Stratford, E15",http://www.rightmove.co.uk/properties/124707641#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Square-Quarters/Islington-76064.html,E15,,1,2022-07-06 15:58:10.018939,2022-07-06 15:58:31.087748,"51.5307903,0.0026687",4.83,5.61,6.82,5.17,2.91,2.83,6.11,32
59,1300,1 bedroom flat,"Otter Close, Stratford, London, E15",http://www.rightmove.co.uk/properties/124706555#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Inner-City-Estates/Bow-103850.html,E15,,1,2022-07-06 15:58:10.018939,2022-09-25 00:00:00.000000,"51.5339138,-0.0092162",4.17,4.72,6.16,4.52,2.44,2.55,5.42,37
60,1650,1 bedroom flat,Englands Lane Belsize Park NW3,http://www.rightmove.co.uk/properties/124190687#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Kinleigh-Folkard-and-Hayward---Lettings/Belsize-Park-57940.html,NW3,,1,2022-07-06 15:58:10.018939,2022-08-30 00:00:00.000000,"51.513263,-0.089878",3.82,1.3,0.13,0.33,2.05,2.43,0.72,14
61,1250,1 bedroom flat,"North Hill, London, N6",http://www.rightmove.co.uk/properties/124704971#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,N6,,1,2022-07-06 15:58:10.018939,2022-08-16 00:00:00.000000,"51.5811093,-0.1549176",2.29,4.64,4.24,3.56,5.89,3.68,4.97,35
62,1495,2 bedroom flat,"Chopwell Close, Stratford. E15",http://www.rightmove.co.uk/properties/124704923#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Outlook/Stratford-Lettings-224522.html,E15,,2,2022-07-06 15:58:10.018939,2022-02-09 00:00:00.000000,"51.5391324,0.0029645",4.04,5.39,7.11,5.45,2.05,3.52,6.41,32
